,receptor,weight,ligexp,recpercent,LRexp,GE,cell
65,CD44,0.162657462,4.008728859,0.402845134,1.614896915,GE3,B Cells
66,IL2RG,0.413630673,4.245518595,0.384093113,1.630674456,GE3,B Cells
67,GPR18,0.137482783,4.111056758,0.140316844,0.576850512,GE4,B Cells
68,CXCR5,0.276177702,4.111056758,0.179599095,0.738342072,GE4,B Cells
69,CXCR4,0.307457128,4.111056758,0.835434853,3.434520098,GE4,B Cells
70,CCR7,0.258285843,4.111056758,0.343355965,1.411555861,GE4,B Cells
71,CCR6,0.762212075,4.111056758,0.175719366,0.722392288,GE4,B Cells
72,CXCR4,0.173296783,1.899303461,0.835434853,1.586744308,GE4,B Cells
73,CCR7,0.221711652,1.899303461,0.343355965,0.652137173,GE4,B Cells
74,CXCR4,0.252284246,1.318726788,0.835434853,1.10171032,GE4,B Cells
75,CD44,0.162657462,2.854076775,0.402845134,1.149750941,GE4,B Cells
76,RACK1,0.277758087,1.063461141,0.732783705,0.779286995,GE4,B Cells
77,IL2RG,0.413630673,2.445845681,0.384093113,0.939432483,GE4,B Cells
78,ITGB2,0.061130086,2.445845681,0.229388943,0.561049955,GE4,B Cells
79,RPSA,0.162086214,1.233634114,0.919980601,1.134919454,GE4,B Cells
80,ITPR1,0.119054479,11.4524993,0.115906887,1.327423537,GE4,B Cells
81,CD44,0.097157978,11.4524993,0.402845134,4.613583617,GE4,B Cells
82,CXCR4,0.015757691,47.10985687,0.835434853,39.35721635,GE5,B Cells
83,ITGAL,0.114931385,47.10985687,0.061913999,2.916759648,GE5,B Cells
84,IFNAR1,0.022673194,47.10985687,0.118331717,5.574590241,GE5,B Cells
85,CD2,0.939364584,47.10985687,0.032977692,1.553574329,GE5,B Cells
86,CD22,0.904122103,47.10985687,0.299224054,14.09640237,GE5,B Cells
87,CD44,0.216539832,47.10985687,0.402845134,18.97797661,GE5,B Cells
88,S1PR4,0.137726139,26.27341953,0.091173618,2.395442712,GE5,B Cells
89,S1PR1,0.126382617,26.27341953,0.075331393,1.979213304,GE5,B Cells
90,LPAR5,0.120340321,26.27341953,0.113320401,2.977314434,GE5,B Cells
91,GPR18,0.137482783,26.27341953,0.140316844,3.686603322,GE5,B Cells
92,CXCR5,0.135483582,26.27341953,0.179599095,4.718682363,GE5,B Cells
93,CXCR4,0.099037722,26.27341953,0.835434853,21.94973038,GE5,B Cells
94,CXCR3,0.058392296,26.27341953,0.075008083,1.970718827,GE5,B Cells
95,CCR7,0.393353105,26.27341953,0.343355965,9.021135318,GE5,B Cells
96,CCR6,0.269544363,26.27341953,0.175719366,4.61674863,GE5,B Cells
97,CD44,0.402828991,6.515753322,0.402845134,2.624839521,GE5,B Cells
98,RPSA,0.161194147,3.081131711,0.919980601,2.834581404,GE5,B Cells
99,ITGB1,0.092347521,24.85514986,0.175396056,4.359495247,GE5,B Cells
100,ITGA4,0.176509641,24.85514986,0.195926285,4.869777179,GE5,B Cells
101,CD44,0.0204673,24.85514986,0.402845134,10.01277618,GE5,B Cells
102,NCSTN,0.300017166,24.85514986,0.06466214,1.607187188,GE5,B Cells
103,ITGB1,0.103295648,22.39534352,0.175396056,3.928054917,GE5,B Cells
104,CD40,0.026375315,22.39534352,0.327837051,7.342023384,GE5,B Cells
105,ALOX5,0.408919672,33.57630398,0.179599095,6.030273799,GE5,B Cells
106,CXCR5,0.426036931,34.29935416,0.179599095,6.160132957,GE5,B Cells
107,PTK2B,0.154872339,1.322262321,0.146944714,0.194299458,GE6,B Cells
108,CALM1,0.019348331,1.322262321,0.615906887,0.814390469,GE6,B Cells
109,PRNP,0.217158415,1.322262321,0.132395732,0.175061888,GE6,B Cells
110,NOTCH2,0.401485349,1.10659478,0.059004203,0.065293743,GE6,B Cells
111,SORL1,0.182382625,1.113446941,0.065955383,0.07343782,GE6,B Cells
112,SEC63,0.099047633,1.16236814,0.10847074,0.126082933,GE6,B Cells
113,SEC63,0.099047633,1.022655984,0.10847074,0.110928252,GE6,B Cells
114,RPSA,0.21140433,1.379774838,0.919980601,1.269366086,GE6,B Cells
115,ICAM1,0.220305904,1.379774838,0.061752344,0.08520433,GE6,B Cells
116,ITGA4,0.200830142,1.379774838,0.195926285,0.270334158,GE6,B Cells
117,RYK,0.331812761,1.077946999,0.028451342,0.030669038,GE6,B Cells
118,CD44,0.402828991,1.070474275,0.402845134,0.431235353,GE6,B Cells
119,ITGB1,0.50119522,1.070474275,0.175396056,0.187756965,GE6,B Cells
120,P2RY14,0.244236085,1.175095524,0.02748141,0.032293281,GE6,B Cells
121,LPAR2,0.207431871,1.175095524,0.025864856,0.030393677,GE6,B Cells
122,CXCR5,0.237069961,1.175095524,0.179599095,0.211046092,GE6,B Cells
123,CXCR3,0.205567847,1.175095524,0.075008083,0.088141662,GE6,B Cells
124,CCR7,0.221711652,1.175095524,0.343355965,0.403476058,GE6,B Cells
125,CCR6,0.231375926,1.175095524,0.175719366,0.206487041,GE6,B Cells
126,CCR1,0.223583659,1.175095524,0.031522793,0.037042293,GE6,B Cells
127,CXCR4,0.173296783,1.175095524,0.835434853,0.981715756,GE6,B Cells
128,TRAF2,0.200649762,1.268560941,0.047688328,0.060495551,GE6,B Cells
129,CUL5,0.168603502,2.214953991,0.105075978,0.232738457,GE7,B Cells
130,ANXA6,0.136650637,2.214953991,0.365664403,0.80992983,GE7,B Cells
131,ANXA6,0.10564052,1.078023191,0.365664403,0.394194707,GE7,B Cells
132,PTK2B,0.154872339,1.791793403,0.146944714,0.263294569,GE7,B Cells
133,CALM1,0.019348331,1.791793403,0.615906887,1.103577896,GE7,B Cells
134,PRNP,0.217158415,1.791793403,0.132395732,0.2372258,GE7,B Cells
135,ITGB1,0.206282774,1.067426594,0.175396056,0.187222414,GE7,B Cells
136,CD47,0.034005152,1.610658674,0.339152926,0.546259602,GE7,B Cells
137,ITGA4,0.227632009,1.610658674,0.195926285,0.315570371,GE7,B Cells
138,ITGB1,0.215658962,1.610658674,0.175396056,0.282503178,GE7,B Cells
139,PTPN6,0.028652264,1.73938461,0.38005173,0.66105613,GE7,B Cells
140,IL2RG,0.413630673,1.396451698,0.384093113,0.536367481,GE7,B Cells
141,ITGB2,0.061130086,1.396451698,0.229388943,0.320330579,GE7,B Cells
142,ITGB1,0.142809968,1.0230612,0.175396056,0.179440899,GE7,B Cells
143,CXCR5,0.237069961,1.091414426,0.179599095,0.196017043,GE7,B Cells
144,CCR7,0.221711652,1.091414426,0.343355965,0.374743653,GE7,B Cells
145,CCR6,0.231375926,1.091414426,0.175719366,0.191782651,GE7,B Cells
146,CXCR4,0.173296783,1.091414426,0.835434853,0.91180565,GE7,B Cells
147,SELL,0.544635394,1.046183742,0.485612674,0.508040084,GE7,B Cells
148,ANXA6,0.10564052,1.215698092,0.365664403,0.444537518,GE8,B Cells
149,CALM1,0.019348331,1.469513515,0.615906887,0.905083493,GE8,B Cells
150,CD44,0.402828991,1.223876538,0.402845134,0.493032708,GE8,B Cells
151,CD47,0.370472889,1.465634171,0.339152926,0.497074117,GE8,B Cells
152,RACK1,0.277758087,1.465634171,0.732783705,1.073992838,GE8,B Cells
153,CD47,0.034005152,1.020572038,0.339152926,0.346129993,GE8,B Cells
154,M6PR,0.21681551,1.834736469,0.191884901,0.352058226,GE8,B Cells
155,CD47,0.252443677,1.834736469,0.339152926,0.622256242,GE8,B Cells
156,PTPN6,0.028652264,2.270423644,0.38005173,0.862878433,GE8,B Cells
157,ANXA6,0.136650637,1.337583939,0.365664403,0.489106833,GE8,B Cells
158,RACK1,0.120180317,1.619381919,0.732783705,1.186656683,GE8,B Cells
159,ITGB1,0.223456103,2.36009366,0.175396056,0.413951119,GE8,B Cells
160,ITGB2,0.267106333,2.36009366,0.229388943,0.54137939,GE8,B Cells
161,CCR7,0.221711652,1.000565301,0.343355965,0.343550065,GE8,B Cells
162,CXCR4,0.173296783,1.000565301,0.835434853,0.835907125,GE8,B Cells
163,SELL,0.544635394,1.853032074,0.485612674,0.89985586,GE8,B Cells
164,RPSA,0.162086214,2.040452668,0.919980601,1.877176872,GE9,B Cells
165,CD44,0.167095569,1.388203037,0.402845134,0.559230839,GE9,B Cells
166,RACK1,0.120180317,1.423896986,0.732783705,1.043408509,GE9,B Cells
167,RACK1,0.07420707,1.421409501,0.732783705,1.04158572,GE9,B Cells
168,LPAR5,0.120340321,4.523765806,0.113320401,0.512634955,GE9,B Cells
169,GPR18,0.137482783,4.523765806,0.140316844,0.634760543,GE9,B Cells
170,CXCR5,0.237069961,4.523765806,0.179599095,0.812464243,GE9,B Cells
171,CXCR4,0.173296783,4.523765806,0.835434853,3.77931162,GE9,B Cells
172,CCR7,0.221711652,4.523765806,0.343355965,1.553261974,GE9,B Cells
173,CCR6,0.231375926,4.523765806,0.175719366,0.794913261,GE9,B Cells
174,CD47,0.252443677,1.822724381,0.339152926,0.618182307,GE9,B Cells
175,RACK1,0.277758087,1.09835078,0.732783705,0.804853554,GE9,B Cells
176,TNFRSF10A,0.957003034,8.37735372,0.082120918,0.68795598,GE9,B Cells
177,SELL,0.544635394,1.115265216,0.485612674,0.541586924,GE9,B Cells
178,PTK2B,0.154872339,2.20524344,0.130385204,0.287531115,GE1,CD4+ T Cells
179,CALM1,0.019348331,2.20524344,0.800333751,1.764930753,GE1,CD4+ T Cells
180,PRNP,0.217158415,2.20524344,0.226394104,0.499254112,GE1,CD4+ T Cells
181,ANXA6,0.10564052,1.008813056,0.37254902,0.375832315,GE1,CD4+ T Cells
182,RACK1,0.120180317,3.199549018,0.787234043,2.518793908,GE1,CD4+ T Cells
183,PIK3CB,0.140781627,3.199549018,0.04778195,0.15288069,GE1,CD4+ T Cells
184,SORL1,0.182382625,1.196181464,0.207342511,0.248019269,GE1,CD4+ T Cells
185,ITGB1,0.142809968,2.597490374,0.360645251,0.936772568,GE1,CD4+ T Cells
186,ITGB1,0.206282774,1.40106504,0.360645251,0.505287453,GE1,CD4+ T Cells
187,RPSA,0.09426088,1.40106504,0.890474204,1.247612276,GE1,CD4+ T Cells
188,CD47,0.034005152,1.733982812,0.310360172,0.538159204,GE1,CD4+ T Cells
189,ITGA4,0.227632009,1.733982812,0.249840078,0.433218401,GE1,CD4+ T Cells
190,ITGB1,0.215658962,1.733982812,0.360645251,0.625352666,GE1,CD4+ T Cells
191,CXCR4,0.217748793,8.238371495,0.8157419,6.720384813,GE1,CD4+ T Cells
192,LPAR2,0.207431871,1.833480108,0.111778612,0.204943862,GE1,CD4+ T Cells
193,CXCR6,0.225518483,1.833480108,0.094534835,0.17332774,GE1,CD4+ T Cells
194,CXCR3,0.205567847,1.833480108,0.266221666,0.488112129,GE1,CD4+ T Cells
195,CCR7,0.221711652,1.833480108,0.363009317,0.665570362,GE1,CD4+ T Cells
196,CCR6,0.231375926,1.833480108,0.104436101,0.191481513,GE1,CD4+ T Cells
197,CXCR4,0.173296783,1.833480108,0.8157419,1.495646546,GE1,CD4+ T Cells
198,TIGIT,0.843964667,1.161893781,0.226227228,0.26285201,GE1,CD4+ T Cells
199,CD226,1.008522421,1.161893781,0.128354888,0.149134746,GE1,CD4+ T Cells
200,TGFBR2,0.179929659,1.523326703,0.247976637,0.377749433,GE1,CD4+ T Cells
201,TGFBR2,0.204812661,1.029910175,0.247976637,0.255393662,GE1,CD4+ T Cells
202,ITGAL,0.065429037,1.214035578,0.192629676,0.23385928,GE1,CD4+ T Cells
203,ITGB2,0.24899674,1.214035578,0.457266027,0.555137225,GE1,CD4+ T Cells
204,ITGB2,0.291603183,2.122219583,0.457266027,0.970418917,GE10,CD4+ T Cells
205,CXCR4,0.173296783,2.122219583,0.8157419,1.731183434,GE10,CD4+ T Cells
206,CXCR3,0.205567847,2.122219583,0.266221666,0.564980833,GE10,CD4+ T Cells
207,CCR7,0.221711652,2.122219583,0.363009317,0.770385482,GE10,CD4+ T Cells
208,CXCR4,0.173296783,1.230368183,0.8157419,1.003662879,GE10,CD4+ T Cells
209,P2RY10,0.154809555,3.630141778,0.174662773,0.634050629,GE10,CD4+ T Cells
210,GPR65,0.155195689,3.630141778,0.178751217,0.64889226,GE10,CD4+ T Cells
211,S1PR4,0.137726139,3.630141778,0.162592129,0.59023248,GE10,CD4+ T Cells
212,CXCR4,0.173296783,3.630141778,0.8157419,2.96125875,GE10,CD4+ T Cells
213,CXCR3,0.205567847,3.630141778,0.266221666,0.966422392,GE10,CD4+ T Cells
214,CCR7,0.221711652,3.630141778,0.363009317,1.317775288,GE10,CD4+ T Cells
215,CXCR4,0.173296783,1.233600368,0.8157419,1.006299508,GE10,CD4+ T Cells
216,CXCR4,0.173296783,2.283391998,0.8157419,1.862658526,GE10,CD4+ T Cells
217,CXCR3,0.205567847,2.283391998,0.266221666,0.607888422,GE10,CD4+ T Cells
218,CCR7,0.221711652,2.283391998,0.363009317,0.82889257,GE10,CD4+ T Cells
219,S1PR4,0.137726139,6.150435158,0.162592129,1.000012347,GE10,CD4+ T Cells
220,S1PR1,0.126382617,6.150435158,0.137699903,0.846914323,GE10,CD4+ T Cells
221,CXCR6,0.225518483,6.150435158,0.094534835,0.581430374,GE10,CD4+ T Cells
222,CXCR4,0.278869593,6.150435158,0.8157419,5.017167659,GE10,CD4+ T Cells
223,CXCR3,0.117480377,6.150435158,0.266221666,1.637379094,GE10,CD4+ T Cells
224,CCR7,0.356778914,6.150435158,0.363009317,2.232665267,GE10,CD4+ T Cells
225,CCR6,0.231375926,6.150435158,0.104436101,0.642327465,GE10,CD4+ T Cells
226,LPAR2,0.207431871,6.150435158,0.111778612,0.687487106,GE10,CD4+ T Cells
227,ANXA6,0.136650637,1.844095601,0.37254902,0.687016008,GE10,CD4+ T Cells
228,IL2RG,0.413630673,2.098748306,0.633208177,1.328944589,GE10,CD4+ T Cells
229,ITGB2,0.061130086,2.098748306,0.457266027,0.9596863,GE10,CD4+ T Cells
230,ITGB1,0.223456103,2.701612839,0.360645251,0.97432384,GE10,CD4+ T Cells
231,ITGB2,0.267106333,2.701612839,0.457266027,1.235355769,GE10,CD4+ T Cells
232,RACK1,0.277758087,1.023128687,0.787234043,0.805441732,GE10,CD4+ T Cells
233,CXCR4,0.173296783,1.05858688,0.8157419,0.863533672,GE2,CD4+ T Cells
234,CCR7,0.221711652,1.05858688,0.363009317,0.3842769,GE2,CD4+ T Cells
235,CXCR4,0.173296783,1.206240474,0.8157419,0.983980895,GE2,CD4+ T Cells
236,CCR7,0.221711652,1.206240474,0.363009317,0.437876531,GE2,CD4+ T Cells
237,RACK1,0.120180317,1.07621906,0.787234043,0.847236281,GE2,CD4+ T Cells
238,ANXA6,0.10564052,1.211676306,0.37254902,0.45140882,GE2,CD4+ T Cells
239,ANXA6,0.136650637,1.78906385,0.37254902,0.666513983,GE2,CD4+ T Cells
240,RPSA,0.162086214,1.043696997,0.890474204,0.929385253,GE2,CD4+ T Cells
241,ITGA4,0.200830142,1.508445162,0.249840078,0.376870057,GE2,CD4+ T Cells
242,CD44,0.167095569,1.508445162,0.628674732,0.948321358,GE2,CD4+ T Cells
243,IL7R,0.113332514,1.508445162,0.742567098,1.120121746,GE2,CD4+ T Cells
244,ITGB1,0.206282774,1.431090786,0.360645251,0.516116096,GE2,CD4+ T Cells
245,CD47,0.370472889,1.506569385,0.310360172,0.467579134,GE2,CD4+ T Cells
246,RACK1,0.277758087,1.506569385,0.787234043,1.186022707,GE2,CD4+ T Cells
247,ITGA4,0.420510827,1.506569385,0.249840078,0.376401412,GE2,CD4+ T Cells
248,ITGB2,0.267106333,1.887480918,0.457266027,0.8630809,GE2,CD4+ T Cells
249,ITGB1,0.223456103,1.887480918,0.360645251,0.680711029,GE2,CD4+ T Cells
250,RPSA,0.09426088,1.083765761,0.890474204,0.965065453,GE2,CD4+ T Cells
251,ITGB1,0.206282774,1.083765761,0.360645251,0.390854975,GE2,CD4+ T Cells
252,ITGB1,0.096088962,1.288940311,0.360645251,0.464850202,GE2,CD4+ T Cells
253,TNFRSF1B,0.36931914,1.281467261,0.280795439,0.359830162,GE2,CD4+ T Cells
254,ITGB1,0.215323106,1.281467261,0.360645251,0.462155082,GE2,CD4+ T Cells
255,SELL,0.544635394,2.410193398,0.361785565,0.871973181,GE2,CD4+ T Cells
256,TGFBR2,0.179929659,1.468254538,0.247976637,0.364092823,GE2,CD4+ T Cells
257,SELENOS,0.344150839,7.864018853,0.1361424,1.070626402,GE3,CD4+ T Cells
258,P2RY10,0.154809555,7.864018853,0.174662773,1.373551339,GE3,CD4+ T Cells
259,LPAR6,0.130278885,7.864018853,0.133861772,1.052691496,GE3,CD4+ T Cells
260,GPR65,0.155195689,7.864018853,0.178751217,1.405702939,GE3,CD4+ T Cells
261,CXCR4,0.173296783,7.864018853,0.8157419,6.415009677,GE3,CD4+ T Cells
262,CXCR3,0.205567847,7.864018853,0.266221666,2.0935722,GE3,CD4+ T Cells
263,CCR7,0.221711652,7.864018853,0.363009317,2.854712114,GE3,CD4+ T Cells
264,S1PR4,0.137726139,7.864018853,0.162592129,1.278627568,GE3,CD4+ T Cells
265,S1PR1,0.126382617,7.864018853,0.137699903,1.082874631,GE3,CD4+ T Cells
266,CXCR4,0.307457128,4.547206624,0.8157419,3.709346969,GE3,CD4+ T Cells
267,CXCR3,0.305623246,4.547206624,0.266221666,1.210564923,GE3,CD4+ T Cells
268,CCR7,0.258285843,4.547206624,0.363009317,1.650678372,GE3,CD4+ T Cells
269,CXCR4,0.173296783,2.90215939,0.8157419,2.367413014,GE3,CD4+ T Cells
270,CCR7,0.221711652,2.90215939,0.363009317,1.053510899,GE3,CD4+ T Cells
271,CD44,0.167095569,3.035755405,0.628674732,1.908502717,GE3,CD4+ T Cells
272,IL7R,0.113332514,3.035755405,0.742567098,2.254252081,GE3,CD4+ T Cells
273,RPSA,0.216274305,8.150140106,0.890474204,7.257489522,GE3,CD4+ T Cells
274,CD44,0.162657462,4.008728859,0.628674732,2.520186542,GE3,CD4+ T Cells
275,ITGB1,0.124822976,5.124410357,0.360645251,1.84809426,GE3,CD4+ T Cells
276,CD99,0.24472722,4.275960617,0.606591573,2.593761676,GE3,CD4+ T Cells
277,IL2RG,0.413630673,4.245518595,0.633208177,2.68829709,GE3,CD4+ T Cells
278,ITGB2,0.061130086,4.245518595,0.457266027,1.941331421,GE3,CD4+ T Cells
279,IL6ST,0.551000172,7.155510879,0.250006953,1.788927473,GE3,CD4+ T Cells
280,CXCR4,0.252284246,1.318726788,0.8157419,1.075740695,GE4,CD4+ T Cells
281,CD44,0.167095569,1.318726788,0.628674732,0.829050211,GE4,CD4+ T Cells
282,F2R,0.247914622,10.82223772,0.06549854,0.708840768,GE4,CD4+ T Cells
283,CXCR6,0.225518483,10.82223772,0.094534835,1.023078459,GE4,CD4+ T Cells
284,CXCR4,0.173296783,10.82223772,0.8157419,8.828152754,GE4,CD4+ T Cells
285,CXCR3,0.205567847,10.82223772,0.266221666,2.881114155,GE4,CD4+ T Cells
286,CCR7,0.221711652,10.82223772,0.363009317,3.928573124,GE4,CD4+ T Cells
287,CCR6,0.231375926,10.82223772,0.104436101,1.130232308,GE4,CD4+ T Cells
288,CCR4,0.224542991,10.82223772,0.067111667,0.726298418,GE4,CD4+ T Cells
289,LPAR2,0.207431871,10.82223772,0.111778612,1.209694712,GE4,CD4+ T Cells
290,CXCR4,0.173296783,1.899303461,0.8157419,1.549341413,GE4,CD4+ T Cells
291,CCR7,0.221711652,1.899303461,0.363009317,0.689464853,GE4,CD4+ T Cells
292,S1PR4,0.137726139,4.111056758,0.162592129,0.668425471,GE4,CD4+ T Cells
293,S1PR1,0.126382617,4.111056758,0.137699903,0.566092115,GE4,CD4+ T Cells
294,CXCR4,0.307457128,4.111056758,0.8157419,3.353561249,GE4,CD4+ T Cells
295,CXCR3,0.305623246,4.111056758,0.266221666,1.094452379,GE4,CD4+ T Cells
296,CCR7,0.258285843,4.111056758,0.363009317,1.492351907,GE4,CD4+ T Cells
297,CXCR4,0.173296783,2.061142568,0.8157419,1.681360354,GE4,CD4+ T Cells
298,CCR7,0.221711652,2.061142568,0.363009317,0.748213956,GE4,CD4+ T Cells
299,ITGA4,0.129681653,2.726738369,0.249840078,0.681248526,GE4,CD4+ T Cells
300,RPSA,0.162086214,1.233634114,0.890474204,1.098519356,GE4,CD4+ T Cells
301,IL7R,0.113332514,2.269109597,0.742567098,1.684966128,GE4,CD4+ T Cells
302,CD44,0.167095569,2.269109597,0.628674732,1.426531869,GE4,CD4+ T Cells
303,ITGA4,0.200830142,2.269109597,0.249840078,0.566914519,GE4,CD4+ T Cells
304,CD44,0.162657462,2.854076775,0.628674732,1.794285952,GE4,CD4+ T Cells
305,IL2RG,0.413630673,2.445845681,0.633208177,1.548729484,GE4,CD4+ T Cells
306,ITGB2,0.061130086,2.445845681,0.457266027,1.118402137,GE4,CD4+ T Cells
307,ITGB2,0.284501554,1.411363074,0.457266027,0.645368386,GE4,CD4+ T Cells
308,CD99,0.24472722,1.942122438,0.606591573,1.178075104,GE4,CD4+ T Cells
309,IL6ST,0.551000172,3.33665707,0.250006953,0.834187468,GE4,CD4+ T Cells
310,RACK1,0.277758087,1.063461141,0.787234043,0.837192813,GE4,CD4+ T Cells
311,S1PR4,0.137726139,26.27341953,0.162592129,4.271851218,GE5,CD4+ T Cells
312,S1PR1,0.126382617,26.27341953,0.137699903,3.617847311,GE5,CD4+ T Cells
313,CXCR4,0.099037722,26.27341953,0.8157419,21.43232915,GE5,CD4+ T Cells
314,LPAR2,0.207431871,26.27341953,0.111778612,2.936806371,GE5,CD4+ T Cells
315,CXCR6,0.26272066,26.27341953,0.094534835,2.483753385,GE5,CD4+ T Cells
316,CXCR3,0.058392296,26.27341953,0.266221666,6.994553517,GE5,CD4+ T Cells
317,CCR7,0.393353105,26.27341953,0.363009317,9.537496083,GE5,CD4+ T Cells
318,CCR6,0.269544363,26.27341953,0.104436101,2.743893487,GE5,CD4+ T Cells
319,CCR4,0.028254399,26.27341953,0.067111667,1.763252992,GE5,CD4+ T Cells
320,CXCR4,0.015757691,47.10985687,0.8157419,38.42948414,GE5,CD4+ T Cells
321,ITGAL,0.114931385,47.10985687,0.192629676,9.074756465,GE5,CD4+ T Cells
322,IFNAR1,0.022673194,47.10985687,0.10727298,5.053614739,GE5,CD4+ T Cells
323,CD28,0.097867948,47.10985687,0.205006258,9.657815464,GE5,CD4+ T Cells
324,CD2,0.939364584,47.10985687,0.711444862,33.5160656,GE5,CD4+ T Cells
325,CD8A,0.023226595,47.10985687,0.053177583,2.505188328,GE5,CD4+ T Cells
326,CD4,0.397638868,47.10985687,0.309497984,14.58040571,GE5,CD4+ T Cells
